stop_name,stop_id,stop_lat,stop_lon
Iverak,7200554,44.29174,19.95893
Jablanica,7200543,43.700928,19.520412
Jagodina,7200196,43.982292,21.263403
Jasenovik,7214004,43.363934,22.029121
Jasikovo,7200361,44.284794,21.956194
Jelen Do,7200023,43.89041,20.119604
Jovanovac,7200684,44.05564,20.976692
Jošanička Banja,7200104,43.41072,20.658949
Kalenić,7200538,43.927483,19.98958
Karavukovo,7200791,45.501778,19.208488
Karađorđev park,7200053,44.793846,20.466002
Kaznovići,7200854,43.260387,20.662195
Kačarevo,7222003,44.965054,20.689043
Kikinda,7200212,45.837925,20.488783
Klenak,7200294,44.781765,19.714483
Knić,7200687,43.932907,20.748554
Knjaževac,7214013,43.57142,22.251387
Kobišnica,7200388,44.189156,22.587463
Kolašin,6231307,42.819553,19.53735
Korman,7200393,43.552685,21.612436
Kosjerić,7200107,44.00041,19.918955
Kovačevac,7200404,44.399242,20.750328
Kovačica,7222006,45.111893,20.610771
Koviljača,7200286,44.5171,19.16197
Koševi,7212205,43.585453,21.247364
Kragujevac,7200179,44.01013,20.928427
Kraljevci,7200275,44.98438,19.887487
Kraljevo,7200178,43.72856,20.69345
Kriveljski most,7200365,44.167583,22.018215
Kriveljski potok,7200366,44.141605,22.042183
Kruševac,7200739,43.58755,21.327414
Kukići,7200765,43.833843,20.465471
Kukujevci - Erdevik,7216513,45.06234,19.342646
Kumane,7200644,45.54824,20.232075
Kusadak,7200405,44.37599,20.828901
Lajkovac,7200110,44.36786,20.164227
Lanište,7200423,44.043,21.236286
Lapovo,7200005,44.15775,21.102226
Lapovo Varoš,7200415,44.186527,21.102577
Lapovo ranžirna,7200420,44.168156,21.098991
Lastra,7200535,44.156315,19.886469
Lazarevac,7200111,44.384876,20.245434
Leskovice,7200555,44.172775,19.867844
Leskovo,7200325,44.316814,21.941912
Lešnica,7216307,44.656532,19.321203
Lipova stajalište,7200759,43.660847,20.852318
Ljutovo,7200786,46.05902,19.536547
Lovćenac / Mali Iđoš,7200821,45.691788,19.650692
Loznica,7200132,44.535465,19.215996
Lozno,7200721,43.4358,20.662727
Lukićevo,7222204,45.33297,20.495104
Lučina,7200429,43.702774,21.430002
Lužane,7200436,43.47162,21.720331
Majdanpek,7200220,44.381916,21.889278
Majur,7216300,44.77183,19.655699
Mala Plana,7200407,44.33686,21.034956
Mali Izvor,7214018,43.72907,22.305283
Mali Krivelj,7200328,44.118595,22.064192
Markovac,7200389,44.239124,21.096397
Martinci,7200272,45.02097,19.46831
Mataruška Banja,7200692,43.696983,20.601633
Matejevac,7214001,43.34922,21.956009
Melenci,7200643,45.50857,20.297667
Mezgraja,7200439,43.39261,21.779686
Milatovac,7200713,44.089935,20.98331
Milavčići,7200716,43.760696,20.805584
Miloševo,7200422,44.10712,21.160507
Minićevo,7214016,43.68651,22.291136
Mladenovac,7200134,44.440197,20.691269
Mlađevo,7200056,44.312496,20.0631
Mojkovac,6231305,42.95285,19.58628
Mrsać,7200763,43.76917,20.593533
Mrzenica,7200756,43.657207,21.385206
Mršinci,7213005,43.818436,20.48294
Negotin,7200349,44.228935,22.540117
Nikinci,7200280,44.857582,19.821196
Nikolinci,7200672,45.06049,21.06621
Niš,7200007,43.31661,21.877302
Niševac,7214008,43.45858,22.10254
Nova Pazova,7200268,44.937675,20.210007
Novi Beograd,7200210,44.80692,20.417845
Novi Bečej,7200645,45.603817,20.152424
Novi Sad,7200008,45.265835,19.829117
Novo Selo,7200419,44.2621,21.091911
Nozrina,7200435,43.48229,21.713308
Odžaci,7225003,45.51441,19.273746
Odžaci Kalvarija,7225401,45.510674,19.255125
Orlovat stajalište,7222203,45.2509,20.582941
Orom,7200782,45.978073,19.831774
Ostojićevo,7200650,45.891132,20.15274
Otanj,7200563,43.896877,19.997244
Ovčar Banja,7200753,43.903484,20.192736
Padej,7200649,45.82955,20.171642
Palilula,7214009,43.48921,22.111141
Palić,7200194,46.103413,19.760597
Pantelej,7214003,43.340042,21.915834
Pančevački most,7200260,44.820034,20.49037
Pančevo Strelište,7216014,44.86985,20.666103
Pančevo Vojlovica,7221101,44.859245,20.655521
Pančevo glavna,7200209,44.887493,20.637415
Pančevo varoš,7200256,44.879032,20.660547
Parage,7200807,45.40812,19.38284
Paraćin,7200155,43.86483,21.39882
Petrovaradin,7216807,45.240433,19.8882
Piskanja,7200697,43.388855,20.64648
Platičevo,7200281,44.829494,19.778852
Podgorica,6231001,42.432007,19.269415
Podunavci,7200745,43.6724,20.83416
Podvis,7214011,43.545483,22.18841
Poljice,7200570,43.563873,19.541885
Polumir,7200695,43.5329,20.609917
Počekovina,7200742,43.591934,21.075914
Požega,7200233,43.84041,20.028872
Prahovo,7200309,44.28746,22.588013
Prahovo pristanište,7200310,44.291115,22.608118
Priboj,7200049,43.58189,19.52493
Pribojska Banja,7200571,43.529316,19.571148
Prigrevica,7200772,45.675873,19.097023
Prijepolje,7200050,43.39285,19.640026
Prijepolje teretna,7200546,43.366436,19.633482
Prijevor,7200752,43.908623,20.282246
Prnjavor Mačvanski,7200284,44.696533,19.377018
Progorelica,7200719,43.68135,20.572182
Pusto Polje,7200720,43.493195,20.610659
Putinci,7200270,44.980637,19.966318
Rabrovac,7200416,44.384747,20.77498
Rajac,7200347,44.08959,22.561138
Rakovica,7200213,44.74665,20.442955
